Cod.;Giocatore;Squadra;Ruolo;Quotazione
9;BARONI Marco;LAZIO;M;42
34;BOCCHETTI Salvatore;MONZA;M;11
35;CONCEICAO Sergio;MILAN;M;30
11;CONTE Antonio;NAPOLI;M;46
12;D'AVERSA Roberto;EMPOLI;M;16
13;DE ROSSI Daniele;ROMA;M;18
14;DI FRANCESCO Eusebio;VENEZIA;M;14
15;FABREGAS Cesc;COMO;M;22
16;FONSECA Paulo;MILAN;M;22
17;GASPERINI Gian Piero;ATALANTA;M;48
31;GIAMPAOLO Marco;LECCE;M;19
18;GILARDINO Alberto;GENOA;M;18
19;GOTTI Luca;LECCE;M;16
20;INZAGHI Simone;INTER;M;47
21;ITALIANO Vincenzo;BOLOGNA;M;38
30;JURIC Ivan;ROMA;M;18
22;MOTTA Thiago;JUVENTUS;M;34
23;NESTA Alessandro;MONZA;M;13
24;NICOLA Davide;CAGLIARI;M;26
25;PALLADINO Raffaele;FIORENTINA;M;23
26;PECCHIA Fabio;PARMA;M;16
32;RANIERI Claudio;ROMA;M;32
27;RUNJAIC Kosta;UDINESE;M;23
28;VANOLI Paolo;TORINO;M;25
33;VIEIRA Patrick;GENOA;M;25
29;ZANETTI Paolo;VERONA;M;12
169;AUDERO Emil;COMO;P;7
100;BAGNOLINI Nicola;BOLOGNA;P;1
101;BERARDI Alessandro;VERONA;P;1
167;BERTINATO Bruno;VENEZIA;P;1
102;BOER Pietro;ROMA;P;1
103;BRANCOLINI Federico;EMPOLI;P;1
182;BUTEZ Jean;COMO;P;2
104;CAPRILE Elia;CAGLIARI;P;19
105;CARNESECCHI Marco;ATALANTA;P;33
106;CHICHIZOLA Leandro;PARMA;P;1
107;CHIORRA Niccolo;EMPOLI;P;1
108;CHRISTENSEN Oliver;FIORENTINA;P;1
174;CIOCCI Giuseppe;CAGLIARI;P;1
109;CONTINI Nikita;NAPOLI;P;1
110;CORVI Edoardo;PARMA;P;1
111;CRAGNO Alessio;MONZA;P;19
170;DE GEA David;FIORENTINA;P;30
112;DI GENNARO Raffaele;INTER;P;1
113;DI GREGORIO Michele;JUVENTUS;P;29
173;DONNARUMMA Antonio;TORINO;P;1
114;FALCONE Wladimiro;LECCE;P;12
115;FRUCHTL Christian;LECCE;P;1
116;FURLANETTO Alessio;LAZIO;P;1
117;GEMELLO Luca;TORINO;P;1
118;GOLLINI Pierluigi;ROMA;P;5
119;GORI Stefano;JUVENTUS;P;1
120;GRANDI Matteo;VENEZIA;P;1
121;JORONEN Jesse;VENEZIA;P;2
122;LEALI Nicola;GENOA;P;22
123;MAIGNAN Mike;MILAN;P;33
124;MANDAS Christos;LAZIO;P;1
